2001/01/08	73.83	194000
2001/01/15	75.58	196000
2001/01/22	79.47	227500
2001/01/29	75.16	201000
2001/02/05	72.87	201500
2001/02/12	75.4	198500
2001/02/19	74.91	209500
2001/02/26	73.09	192000
2001/03/05	70.76	186000
2001/03/12	67.89	183500
2001/03/19	66.51	190000
2001/03/26	68.04	217000
2001/04/02	64.12	199500
2001/04/09	61.81	185500
2001/04/16	63.15	197000
2001/04/23	70.26	227000
2001/04/30	72.45	229000
2001/05/07	74.86	230000
2001/05/14	72.99	221500
2001/05/21	77.51	229000
2001/05/28	77.05	222500
2001/06/04	75.74	212000
2001/06/11	75.27	214000
2001/06/18	74.85	205000
2001/06/25	73.29	193500
2001/07/02	73.4	193000
2001/07/09	69.06	171000
2001/07/16	67.53	167000
2001/07/23	64.85	173000
2001/07/30	65.98	185500
2001/08/06	70.46	199000
2001/08/13	69.26	191500
2001/08/20	69.83	190000
2001/08/27	71.53	199000
2001/09/03	67.05	188000
2001/09/10	67.84	191500
2001/09/17	58.36	164000
2001/09/24	59.43	148000
2001/10/04	61.61	145500
2001/10/08	61.04	146000
2001/10/15	63.2	160000
2001/10/23	65.27	174000
2001/10/29	67.73	184000
2001/11/05	69.53	185000
2001/11/12	72.52	200000
2001/11/19	78.13	218500
2001/11/26	84.2	230000
2001/12/03	80.83	224500
2001/12/10	83.41	260000
2001/12/17	80.56	250500
2001/12/24	80.7	252500
2002/01/02	91.18	308000
2002/01/07	94.57	318000
2002/01/14	93.35	330000
2002/01/21	89.72	291000
2002/01/28	97.42	318500
2002/02/04	91.01	312000
2002/02/14	99.99	355000
2002/02/18	98.82	343000
2002/02/25	99	332000
2002/03/04	104.41	350000
2002/03/11	103.09	348500
2002/03/18	107.99	332000
2002/03/25	109.43	340000
2002/04/01	109.28	374000
2002/04/08	112.08	369000
2002/04/15	112.04	385000
2002/04/22	115.63	410000
2002/04/29	105.61	381000
2002/05/06	103.5	348000
2002/05/13	102.83	335500
2002/05/20	108.91	370000
2002/05/27	106.06	361500
2002/06/03	101.93	351000
2002/06/10	102.4	350000
2002/06/17	101.39	359000
2002/06/24	96.58	339000
2002/07/02	94.08	337500
2002/07/08	98.66	359000
2002/07/15	98.51	353000
2002/07/22	90.71	330000
2002/07/29	87.8	325000
2002/08/05	84.58	309000
2002/08/12	86.92	317000
2002/08/19	90.17	333000
2002/08/26	92.4	340500
2002/09/02	94.54	340000
2002/09/09	87.58	323500
2002/09/16	88.43	327500
2002/09/23	85.18	321500
2002/09/30	81.37	298500
2002/10/07	78.83	296000
2002/10/14	77.27	288000
2002/10/21	82.11	324000
2002/10/28	85.61	361000
2002/11/04	85.04	367500
2002/11/11	83.15	349000
2002/11/18	84.48	351000
2002/11/25	89.68	378500
2002/12/02	92.67	387000
2002/12/09	89.84	372500
2002/12/16	87.72	348500
2002/12/23	87.97	348000
2002/12/30	79.87	314000
2003/01/06	84.92	349500
2003/01/13	82.58	334500
2003/01/20	80.72	320000
2003/01/27	75.45	299000
2003/02/03	76.3	293000
2003/02/10	73.16	269500
2003/02/17	76.32	290500
2003/02/24	78.32	309500
2003/03/03	74.87	295000
2003/03/10	69.26	286500
2003/03/17	65.64	288000
2003/03/24	72.58	312500
2003/03/31	68.05	284000
2003/04/07	74.63	299000
2003/04/14	75.75	285500
2003/04/21	79.06	309000
2003/04/28	72.41	285000
2003/05/06	77.01	313000
2003/05/12	80.45	327000
2003/05/19	75.63	301000
2003/05/26	78.39	317000
2003/06/02	82.55	334000
2003/06/09	82.86	344000
2003/06/16	83.72	341000
2003/06/23	86.06	357000
2003/06/30	85.47	355000
2003/07/07	90.07	386000
2003/07/14	92.32	409500
2003/07/21	88.88	407000
2003/07/28	92.06	418000
2003/08/04	92.31	421500
2003/08/11	90.39	408000
2003/08/18	93.73	419000
2003/08/25	97.45	443000
2003/09/01	98.23	437000
2003/09/08	97.89	451500
2003/09/15	96.94	437500
2003/09/22	91.78	403000
2003/09/29	89.37	386500
2003/10/06	93.06	421000
2003/10/13	97.79	445000
2003/10/20	100.58	458000
2003/10/27	98.62	448000
2003/11/03	102.74	474500
2003/11/10	103.16	466000
2003/11/17	103.21	461000
2003/11/24	97.61	443500
2003/12/01	104.9	466000
2003/12/08	101.3	450000
2003/12/15	106.48	461000
2003/12/22	104.16	442000
2003/12/29	102.79	440000
2004/01/05	107.07	457500
2004/01/12	111.1	505000
2004/01/19	111.96	521000
2004/01/26	113.68	545000
2004/02/02	111.68	530000
2004/02/09	113.18	543000
2004/02/16	115.63	563000
2004/02/23	115.05	547000
2004/03/02	118.07	554000
2004/03/08	118.1	549000
2004/03/15	111.63	525000
2004/03/22	113.31	544000
2004/03/29	115.1	555000
2004/04/06	119.57	595000
2004/04/12	120.99	610000
2004/04/19	118.49	599000
2004/04/26	120.3	626000
2004/05/03	112.84	556000
2004/05/10	102.94	509000
2004/05/17	94.05	458000
2004/05/24	103.68	511000
2004/05/31	104.14	506000
2004/06/07	105.02	496000
2004/06/14	94.9	428500
2004/06/21	96.8	446000
2004/06/28	99.85	468000
2004/07/05	97.91	443000
2004/07/12	96.45	423000
2004/07/19	97.11	426500
2004/07/26	95.22	418000
2004/08/02	93.19	408000
2004/08/09	96.08	419000
2004/08/16	99.72	430000
2004/08/23	100.92	438000
2004/08/30	103.07	458000
2004/09/06	105.52	433500
2004/09/13	109.56	475000
2004/09/20	110.38	469000
2004/09/30	107.69	458000
2004/10/04	114.02	490000
2004/10/11	113.82	466500
2004/10/18	109.24	432500
2004/10/25	104.13	428000
2004/11/01	108.17	439500
2004/11/08	109.34	440000
2004/11/15	114.09	456500
2004/11/22	109.83	440000
2004/11/29	111.62	426000
2004/12/06	112.37	418000
2004/12/13	108.36	402000
2004/12/20	113.45	445000
2004/12/27	113	437500
2005/01/03	115.36	451000
2005/01/10	113.27	438000
2005/01/17	119.91	492500
2005/01/24	119.83	488000
2005/01/31	121.06	495000
2005/02/07	123.2	510000
2005/02/14	124.94	517000
2005/02/21	128.09	528000
2005/02/28	130.85	527000
2005/03/07	130.11	507000
2005/03/14	131.47	510000
2005/03/21	126.84	492000
2005/03/28	126.72	510000
2005/04/04	127.22	517000
2005/04/11	127.59	517000
2005/04/18	119.76	476000
2005/04/25	122.08	474500
2005/05/02	118.46	455500
2005/05/09	120.48	475000
2005/05/16	119.65	488000
2005/05/23	122.87	498000
2005/05/30	124.64	493500
2005/06/07	124.79	480500
2005/06/13	127.65	498000
